"","STATE","POPESTIMATE2019","lat","long","nRestaurants","Valor_Obesidad","Valor_Colesterol","Valor_Problemas_Cardiovasculares","Valor_Presion_Alta","Valor_Diabetes","Valor_Cancer"
"1","Alabama",4903185,32.377716,-86.300568,635,36.2,37.2,12.9,41.9,14.5,8.1
"2","Alaska",731545,58.301598,-134.420212,64,29.5,31.2,6.9,31.8,8.8,6.1
"3","Arizona",7278717,33.448143,-112.096962,186,29.5,33.4,9.3,30.7,10.8,7.6
"4","Arkansas",3017804,34.746613,-92.288986,124,37.1,36.8,13.2,41.3,13.9,8.7
"5","California",39512223,38.576668,-121.493629,725,25.8,30.8,6.7,28.4,10.4,5.8
"6","Colorado",5758736,39.739227,-104.984856,154,22.9,30.3,6,25.9,7,6.4
"7","Connecticut",3565287,41.764046,-72.682198,1,27.4,32.2,7.5,30.5,9.7,7.5
"8","Delaware",973764,39.157307,-75.519722,25,33.5,34.6,9.1,34.9,11.9,7.5
"9","District of Columbia",705749,38.89511,-77.03637,18,24.7,27.5,6.4,26.7,8.4,5.2
"10","Florida",21477737,30.438118,-84.281296,736,30.7,35.9,11,34.6,12.6,7.9
"11","Georgia",10617423,33.749027,-84.388229,236,32.5,31.1,9.3,33.1,12.6,6.2
"12","Hawaii",1415872,21.307442,-157.857376,90,24.9,31.8,7.4,30.6,11.5,5.9
"13","Idaho",1787065,43.617775,-116.199722,65,28.4,30.8,8,29.8,10.2,7.6
"14","Illinois",12671821,39.798363,-89.654961,303,31.8,32.5,8.3,32.2,10,6.9
"15","Indiana",6732219,39.768623,-86.162643,515,34.1,34.1,11,35.2,12.5,7.3
"16","Iowa",3155070,41.591087,-93.603729,105,35.3,34.1,8.1,31.5,10,7.1
"17","Kansas",2913314,39.048191,-95.677956,92,34.4,34.1,8.9,32.8,11.6,7.1
"18","Kentucky",4467673,38.186722,-84.875374,142,36.6,38.1,12.6,39.4,13.7,8.1
"19","Louisiana",4648794,30.457069,-91.187393,161,36.8,37.6,11.5,39,14.1,6.8
"20","Maine",1344212,44.307167,-69.781693,0,30.4,37.4,10.6,34.8,10.6,8.4
"21","Maryland",6045680,38.978764,-76.490936,114,30.9,32.5,8.5,32.4,12,7
"22","Massachusetts",6892503,42.358162,-71.063698,2,25.7,32.4,7.3,28.6,8.6,6.8
"23","Michigan",9986857,42.733635,-84.555328,210,33,35.1,9.8,34.7,11.7,7.7
"24","Minnesota",5639632,44.955097,-93.102211,83,30.1,29,7.3,26.6,8.9,6.4
"25","Mississippi",2976149,32.303848,-90.182106,99,39.5,37.7,11.6,40.8,14.3,7.1
"26","Missouri",6137428,38.579201,-92.172935,244,35,34.3,10.1,32,11.5,7.3
"27","Montana",1068778,46.585709,-112.018417,33,26.9,28.8,9,29,9.3,7.9
"28","Nebraska",1934408,40.808075,-96.699654,73,34.1,31.9,7.8,30.6,9.7,7.1
"29","Nevada",3080156,39.163914,-119.766121,96,29.5,33.1,9.3,32.6,10.7,6.4
"30","New Hampshire",1359711,43.206898,-71.537994,0,29.6,32.8,7.8,30,10.3,7.9
"31","New Jersey",8882190,40.220596,-74.769913,2,25.6,34.6,8.1,33,10.8,7.1
"32","New Mexico",2096829,35.68224,-105.939728,69,32.3,31.4,8.2,30.5,12.5,6.4
"33","New York",19453561,42.652843,-73.757874,170,27.6,32.6,7.9,29.4,11,6.8
"34","North Carolina",10488084,35.78043,-78.639099,661,33,35.5,10.2,34.7,12.5,7
"35","North Dakota",762062,46.82085,-100.783318,18,35.1,31.1,8.2,29.5,9.4,6.7
"36","Ohio",11689100,39.961346,-82.999069,920,34,33.4,10.3,34.7,12.2,7.2
"37","Oklahoma",3956971,35.492207,-97.503342,145,34.8,37,11.6,37.7,12.5,7.2
"38","Oregon",4217737,44.938461,-123.030403,333,29.9,32.1,9.5,30.1,11,7.9
"39","Pennsylvania",12801989,40.264378,-76.883598,194,30.9,33,9.9,32.6,11.3,7.3
"40","Rhode Island",1059361,41.830914,-71.414963,0,27.7,33,9.2,33.1,10.9,7.3
"41","South Carolina",5148714,34.000343,-81.033211,322,34.3,36.7,10.3,38.1,13.3,7.6
"42","South Dakota",884659,44.367031,-100.346405,27,30.1,29.5,9.1,30.8,9.3,7.9
"43","Tennessee",6829174,36.16581,-86.784241,241,34.4,36.5,12.3,38.7,13.8,7.6
"44","Texas",28995881,30.27467,-97.740349,422,34.8,33,9.1,32.5,12.6,5.1
"45","Utah",3205958,40.777477,-111.888237,74,27.7,28.6,5.9,24.5,8.4,6.1
"46","Vermont",623989,44.262436,-72.580536,0,27.5,30.4,7.7,30.4,9.2,7.5
"47","Virginia",8535519,37.538857,-77.43364,348,30.3,34.7,8.2,32.4,10.5,6.9
"48","Washington",7614893,47.035805,-122.905014,404,28.7,31.8,7.8,29.5,9.9,7.1
"49","West Virginia",1792147,38.336246,-81.612328,153,39.5,39.7,15.5,43.5,16.2,8
"50","Wisconsin",5822434,43.074684,-89.384445,112,32,34.5,7.5,30.8,8.7,7.8
"51","Wyoming",578759,41.140259,-104.820236,20,29,30.8,8.1,30.8,8.7,7
